,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,59,PF,1562872559,78,-9.8,-139.03,80.85,20.78
1,Mataura,82,NZ,1562872560,89,-46.19,168.86,44.01,5.01
2,Rikitea,69,PF,1562872561,82,-23.12,-134.97,73.65,17.27
3,Saint George,20,GR,1562872546,53,39.45,22.34,73.4,6.93
4,Katsuura,90,JP,1562872564,94,33.93,134.5,73.4,3.36
5,La Ronge,90,CA,1562872565,87,55.1,-105.3,59.0,5.82
6,Plouzane,75,FR,1562872566,68,48.38,-4.62,69.8,9.17
7,Ushuaia,75,AR,1562872359,93,-54.81,-68.31,37.4,18.34
8,Nikolskoye,40,RU,1562872568,62,59.7,30.79,53.01,6.71
9,Kapaa,40,US,1562872360,74,22.08,-159.32,82.4,13.87
10,Palmas de Monte Alto,0,BR,1562872571,23,-14.26,-43.16,87.51,4.03
11,Avarua,0,CK,1562872572,94,-21.21,-159.78,69.8,1.12
12,Gornyak,0,KZ,1562872573,71,51.0,81.46,61.23,12.71
13,Port Lincoln,100,AU,1562872574,71,-34.72,135.86,57.27,33.69
14,Terra Nova,20,BR,1562872576,57,-12.41,-38.62,80.6,10.29
15,Busselton,61,AU,1562872495,74,-33.64,115.35,46.99,12.26
16,Dubbo,0,AU,1562872578,93,-32.25,148.6,37.4,3.36
17,Bethel,75,US,1562872320,88,60.79,-161.76,66.2,4.7
18,Luderitz,0,NA,1562872497,82,-26.65,15.16,56.37,3.67
19,Fairbanks,90,US,1562872502,64,64.84,-147.72,70.0,2.17
20,Yulara,100,AU,1562872582,31,-25.24,130.99,46.4,3.36
21,Port Alfred,0,ZA,1562872505,88,-33.59,26.89,64.0,7.0
22,Vaini,100,IN,1562872585,90,15.34,74.49,76.89,0.87
23,Norman Wells,75,CA,1562872586,71,65.28,-126.83,53.6,14.99
24,Salme,75,NP,1562872587,100,28.04,85.09,68.0,11.41
25,Bluff,0,AU,1562872485,56,-23.58,149.07,54.75,1.61
26,Hasaki,75,JP,1562872589,100,35.73,140.83,66.2,4.7
27,Byron Bay,0,AU,1562872591,100,-28.65,153.62,55.99,2.24
28,Belmonte,0,PT,1562872592,35,40.36,-7.35,91.0,4.36
29,Anadyr,0,RU,1562872593,67,64.73,177.51,64.0,3.09
30,Chokurdakh,99,RU,1562872521,93,70.62,147.9,56.19,13.65
31,Faanui,0,PF,1562872595,69,-16.48,-151.75,77.97,9.13
32,Port Blair,100,IN,1562872596,81,11.67,92.75,83.01,12.64
33,New Norfolk,20,AU,1562872598,70,-42.78,147.06,46.99,21.92
34,Muros,0,ES,1562872599,68,42.77,-9.06,84.0,12.75
35,Evensk,0,RU,1562872600,69,61.92,159.24,63.75,2.77
36,Khatanga,19,RU,1562872475,66,71.98,102.47,47.37,7.38
37,Lompoc,1,US,1562872602,60,34.64,-120.46,90.0,10.29
38,Maple Creek,99,CA,1562872604,55,49.91,-109.46,74.37,10.45
39,Upernavik,83,GL,1562872605,72,72.79,-56.15,44.85,4.92
40,Buncrana,40,GB,1562872606,82,55.14,-7.45,64.4,10.29
41,West Bay,75,CA,1562872514,77,49.34,-123.21,70.0,5.82
42,Barrow,100,AR,1562872609,59,-38.31,-60.23,58.89,0.96
43,Namibe,30,AO,1562872610,88,-15.19,12.15,65.91,12.93
44,Te Anau,100,NZ,1562872611,86,-45.41,167.72,42.87,3.78
45,Hermanus,69,ZA,1562872612,90,-34.42,19.24,57.99,13.44
46,Awallan,0,PH,1562872614,95,17.92,121.91,74.37,2.1
47,Cape Town,75,ZA,1562872354,87,-33.93,18.42,57.99,3.36
48,Provideniya,0,RU,1562872616,49,64.42,-173.23,67.17,0.92
49,Ivanava,78,BY,1562872617,89,52.14,25.53,58.17,7.09
50,Chuy,100,UY,1562872618,84,-33.69,-53.46,58.71,7.67
51,Beringovskiy,0,RU,1562872620,65,63.05,179.32,60.51,3.94
52,Aklavik,75,CA,1562872621,66,68.22,-135.01,48.2,13.87
53,Pevek,48,RU,1562872551,65,69.7,170.27,47.73,7.94
54,Albany,90,US,1562872557,100,42.65,-73.75,84.0,4.7
55,Goderich,4,CA,1562872624,82,43.74,-81.71,75.0,13.85
56,Qaanaaq,5,GL,1562872625,47,77.48,-69.36,45.93,4.29
57,Budureasa,20,RO,1562872627,93,46.68,22.5,57.2,4.7
58,Nouakchott,0,MR,1562872628,69,18.08,-15.98,78.8,13.87
59,Kalabagh,0,PK,1562872629,68,34.07,73.37,82.99,6.49
60,Rangapara,100,IN,1562872631,99,26.82,92.69,71.13,4.16
61,Saint Simons,1,US,1562872632,59,31.14,-81.39,96.8,12.75
62,Amapa,40,HN,1562872633,49,15.09,-87.97,93.2,11.41
63,Annaberg-Buchholz,40,DE,1562872634,63,50.58,13.01,66.2,9.17
64,Upata,7,VE,1562872636,58,8.02,-62.41,91.99,11.01
65,Marawi,92,PH,1562872637,94,8.0,124.29,73.99,5.01
66,Mar del Plata,24,AR,1562872638,54,-46.43,-67.52,46.65,13.4
67,Dikson,100,RU,1562872639,96,73.51,80.55,32.97,3.98
68,Kurilsk,95,RU,1562872640,85,45.23,147.88,49.71,12.37
69,Petropavlovka,65,RU,1562872642,98,50.61,105.32,55.83,6.4
70,Thompson,90,CA,1562872643,87,55.74,-97.86,57.2,5.82
71,Cabo San Lucas,5,MX,1562872589,46,22.89,-109.91,98.01,9.17
72,Pontes e Lacerda,0,BR,1562872645,23,-15.23,-59.33,92.73,5.48
73,Puerto Ayora,20,EC,1562872646,65,-0.74,-90.35,78.8,18.34
74,Lazaro Cardenas,40,MX,1562872647,29,28.39,-105.62,89.01,8.05
75,Wagga Wagga,75,AU,1562872649,93,-35.12,147.37,46.4,6.93
76,Aranos,0,NA,1562872650,44,-24.14,19.11,55.83,4.41
77,Saint-Philippe,1,CA,1562872651,69,45.36,-73.48,82.4,6.93
78,Saskylakh,100,RU,1562872652,95,71.97,114.09,53.67,1.9
79,Butaritari,47,KI,1562872653,75,3.07,172.79,83.91,10.96
80,Sosnovo-Ozerskoye,55,RU,1562872655,90,52.53,111.54,54.75,2.15
81,Ancud,75,CL,1562872656,93,-41.87,-73.83,48.2,13.87
82,Avera,1,US,1562872657,52,33.19,-82.53,93.2,10.29
83,Dingle,36,PH,1562872644,86,11.0,122.67,74.91,2.04
84,Grootfontein,0,NA,1562872659,26,-19.56,18.1,54.21,6.42
85,Visnes,75,NO,1562872660,87,59.36,5.22,62.01,4.7
86,Sorland,90,NO,1562872662,87,67.67,12.69,51.8,17.22
87,Kutum,84,SD,1562872663,63,14.2,24.66,74.37,9.57
88,Punta Arenas,90,CL,1562872664,93,-53.16,-70.91,41.0,14.99
89,Tuktoyaktuk,90,CA,1562872665,80,69.44,-133.03,39.2,12.75
90,Talnakh,53,RU,1562872666,62,69.49,88.39,53.6,4.47
91,San Quintin,0,PH,1562872668,89,17.54,120.52,75.81,2.82
92,Mangrol,77,IN,1562872669,61,25.33,76.51,86.61,16.89
93,Mehamn,0,NO,1562872541,81,71.03,27.85,46.4,12.75
94,Christchurch,16,NZ,1562872481,100,-43.53,172.64,48.0,5.82
95,Ambovombe,50,MG,1562872673,65,-25.18,46.09,72.03,12.21
96,Puerto del Rosario,20,ES,1562872674,57,28.5,-13.86,77.0,17.22
97,Malyye Derbety,99,RU,1562872675,89,47.95,44.68,62.13,5.64
98,Krasnyy Kholm,62,RU,1562872676,74,58.06,37.11,47.37,6.4
99,Poshekhonye,99,RU,1562872678,70,58.5,39.12,49.53,6.6
100,Nanortalik,99,GL,1562872679,91,60.14,-45.24,40.17,6.13
101,Loikaw,100,MM,1562872680,98,19.67,97.21,66.45,3.56
102,Cherskiy,66,RU,1562872681,46,68.75,161.3,74.19,4.18
103,Guerrero Negro,0,MX,1562872682,85,27.97,-114.04,67.17,15.9
104,Wodonga,75,AU,1562872683,87,-36.12,146.89,51.8,6.93
105,Ravar,16,IR,1562872685,12,31.27,56.81,82.83,6.06
106,Eyl,62,SO,1562872686,61,7.98,49.82,81.03,24.02
107,Chunskiy,83,RU,1562872687,76,56.08,99.63,61.41,2.75
108,Hongjiang,100,CN,1562872688,99,27.21,109.83,68.61,1.68
109,Qandala,27,SO,1562872690,62,11.47,49.87,89.67,5.82
110,Goroka,100,PG,1562872691,97,-6.07,145.39,50.25,1.97
111,Hoima,97,UG,1562872692,79,1.43,31.35,73.29,4.88
112,Hobart,20,AU,1562872693,70,-42.88,147.33,46.99,21.92
113,Hamilton,75,CA,1562872432,69,43.26,-79.87,87.01,17.22
114,Carmarthen,95,GB,1562872695,88,51.86,-4.31,66.0,14.99
115,Puerto Escondido,40,MX,1562872697,66,15.86,-97.07,87.8,5.82
116,Zeya,11,RU,1562872698,89,53.74,127.27,59.25,3.02
117,Port Hardy,90,CA,1562872699,93,50.7,-127.42,59.0,5.82
118,Mana,81,NG,1562872700,38,13.03,5.27,93.09,10.25
119,Pochutla,75,MX,1562872702,59,15.74,-96.47,91.99,5.5
120,Severo-Kurilsk,100,RU,1562872703,96,50.68,156.12,42.69,11.21
121,Druzhinino,36,RU,1562872704,85,56.79,59.52,56.37,4.79
122,Ostrovnoy,100,RU,1562872705,96,68.05,39.51,39.81,30.33
123,Richards Bay,0,ZA,1562872706,81,-28.77,32.06,71.49,20.6
124,Gazojak,0,TM,1562872708,17,41.19,61.4,92.73,15.86
125,Souillac,0,FR,1562872709,36,45.6,-0.6,82.0,11.41
126,Ust-Kuyga,25,RU,1562872710,71,70.0,135.55,54.39,3.31
127,Bredasdorp,0,ZA,1562872515,71,-34.53,20.04,57.2,6.93
128,Jamestown,100,AU,1562872491,83,-33.21,138.6,50.97,18.03
129,Kinablangan,99,PH,1562872713,89,7.69,126.55,70.59,5.26
130,Hithadhoo,49,MV,1562872715,73,-0.6,73.08,84.81,11.01
131,Addanki,80,IN,1562872716,57,15.81,79.97,87.15,3.15
132,Puerto Colombia,40,CO,1562872717,62,10.99,-74.96,89.6,8.05
133,Isangel,20,VU,1562872655,83,-19.55,169.27,73.4,12.64
134,Port Hueneme,1,US,1562872587,60,34.15,-119.2,91.99,9.17
135,Flinders,19,AU,1562872720,54,-34.58,150.85,57.2,16.11
136,Hobyo,17,SO,1562872722,71,5.35,48.53,78.87,21.92
137,Bambous Virieux,20,MU,1562872723,88,-20.34,57.76,66.2,8.05
138,Clyde River,75,CA,1562872724,62,70.47,-68.59,55.4,24.16
139,Zyryanskoye,5,RU,1562872725,72,56.83,86.62,53.85,3.8
140,Bud,12,NO,1562872726,87,62.91,6.91,64.4,14.99
141,East London,0,ZA,1562872490,55,-33.02,27.91,64.4,6.93
142,Ponta do Sol,0,BR,1562872729,39,-20.63,-46.0,70.59,5.84
143,Dali,100,CN,1562872730,54,34.79,109.94,76.17,1.68
144,Port Augusta,4,AU,1562872731,76,-32.49,137.76,55.4,10.29
145,Morondava,0,MG,1562872733,57,-20.3,44.28,76.89,17.69
146,Gerash,0,IR,1562872734,41,27.67,54.14,95.0,7.43
147,Torbay,90,CA,1562872735,87,47.66,-52.73,51.8,11.41
148,Santiago del Estero,2,AR,1562872737,50,-27.8,-64.26,74.01,4.0
149,Vestmannaeyjar,90,IS,1562872738,93,63.44,-20.27,51.8,14.99
150,Dudinka,80,RU,1562872739,62,69.41,86.18,53.6,4.47
151,Emirdag,63,TR,1562872740,76,39.02,31.15,57.99,8.03
152,Srednekolymsk,52,RU,1562872741,50,67.46,153.71,73.83,2.53
153,Castro,75,CL,1562872743,93,-42.48,-73.76,48.2,13.87
154,Havoysund,0,NO,1562872744,50,71.0,24.66,55.4,8.05
155,Victoria,75,BN,1562872745,83,5.28,115.24,78.8,2.24
156,Bonthe,100,SL,1562872746,87,7.53,-12.5,77.25,12.06
157,Cidreira,100,BR,1562872495,58,-30.17,-50.22,70.05,4.74
158,Quatre Cocos,20,MU,1562872749,88,-20.21,57.76,66.2,8.05
159,Georgetown,40,GY,1562872750,79,6.8,-58.16,86.0,6.93
160,Geraldton,75,CA,1562872751,43,49.72,-86.95,71.6,8.05
161,Carnarvon,0,ZA,1562872752,19,-30.97,22.13,58.71,12.48
162,Vao,28,EE,1562872753,63,59.1,26.19,51.51,3.89
163,Cabedelo,40,BR,1562872754,65,-6.97,-34.84,82.4,13.87
164,Kaitangata,70,NZ,1562872756,90,-46.28,169.85,41.0,4.0
165,Hazorasp,0,UZ,1562872757,54,41.32,61.08,78.8,6.93
166,Monastyrshchina,100,RU,1562872758,82,54.35,31.84,54.21,4.68
167,Bowen,40,AU,1562872759,100,-20.01,148.25,64.0,4.7
168,Tamandare,27,BR,1562872760,38,-8.28,-70.75,93.63,1.28
169,Bozhou,74,CN,1562872762,65,33.86,115.78,76.53,4.81
170,Lebu,75,ET,1562872763,87,8.96,38.73,60.8,2.24
171,Harindanga,40,IN,1562872764,94,22.04,88.32,82.4,8.05
172,Kalmunai,92,LK,1562872765,84,7.42,81.82,78.51,4.38
173,Saint Anthony,1,US,1562872766,23,43.97,-111.68,88.0,16.11
174,Rio Gallegos,90,AR,1562872757,93,-51.62,-69.22,39.2,12.37
175,Havre-Saint-Pierre,1,CA,1562872769,48,50.23,-63.6,64.4,8.05
176,Yangambi,100,CD,1562872770,93,0.77,24.47,72.75,1.05
